Description	Answer
Will I need to do anything for my last payout for my reenlistment bonus? I reenlisted under zone B and I got 75% upfront. I was told I would get the remaining 25% at my 1 year mark.	You need to ensure your contract has been fully completed by FSS/MPS. Once Personnel loads the bonus information the data is sent straight to DFAS for payment release.
I have a travel voucher that has been signed pending approval for more than 2 weeks. Who can I contact to inquire about this?	
Do you accept SmartVouchers from DFAS? I have a member filing a paper voucher from a PCS and would like to use this function--thank you!	We do not accept this form at this time. However, our in-person in-processing has streamlined the format to ask you the questions needed once (Name, rank, key dates, etc.) and pre-populate across all forms for PCS voucher and station gain actions CPTS needs to process. This yields next day turn-arounds typically for updating not only your PCS move reimbursement documents to AFFSC for final payment, but also your BAH.
Is inprocessing still at 1230 on Thursdays?	
To clarify the traveler must put the actual location of the temporary duty, not the city or area.	DoD 7000.14-R (DoDFMR), Volume 9, Chapter 5, para 0503, “To ensure proper reimbursement, the actual TDY duty location must be listed on the travel orders (i.e., if going TDY to Ft. Bliss, TX, the travel orders must explicitly state “Ft. Bliss, TX” not “El Paso, TX”).”
Is there a new GPC homepage link under usaf.dps.mil?	
I just returned from my deployment, how do I file my voucher?	"Financial Ops has paused the in person reintegration briefs. However, our DTS team is able to assist through CSP.
 Forms can be found through the Knowledge Base- Deployment Corner (list below). Once you have completed the documents and have all of the required receipts, submit a inquiry with all documentation. Our team will review. If all documents are complete and signed, the tech will ""T-enter"" your voucher in DTS. If not, the tech will be in touch to advise on corrections. Be sure to check the status of your inquiry, the tech will provide updates in the inquiry. Inquiries will be closed after 5 days if no response is provided."
My name is A1C Mendez-Ramos. I am new at McGuire Afb and submitted my paperwork need for the inprocessing. When I am going to received my first BAH payment?	"Greetings,
 
 
 You will start receiving JBMDL's BAH once the transaction to gain you to the base has posted to your military pay record. This usually happens within 2 pay periods after you have filed your voucher. If two pay checks have passed and you have not seen the correct BAH, create an inquiry and the team will look into it
 
 
 v/r,
 MSgt Smit"
I am coming up on a PCS and I need to be signed off on vMPF.	If you are PCSing out of Minot (not retiring or separating), you will need to submit a copy of your orders/amendments and provide us your projected date of departure. You can submit a 'Military Pay' inquiry 30 days prior to your projected date of departure..
My spouse and I are both stationed in Minot AFB. Do we both get with dependent rate for our newborn?	No, only one military member may claim the new dependent. The claiming member will then receive with dependent rate BAH, while the other will receive the without dependent rate.
I am coming back from a deployment/TDY and I would like to claim FSA.	You can claim FSA by filling out a DD 1531 (boxes 1-9b, 10a). Please make sure that you completed a voucher and it is on 'APPROVED' status. Create a 'Military Pay' inquiry.
"Hi, inquiring about a TSP note that has been approved for temporary suspension due to COVID-19. It has been 2 full pay periods and haven't seen the suspension on mypay stub.
 
 
 The TSP folks have informed me that the temporary suspension is place, now must be processed on your end.
 
 
 Please look into this matter and if more information is required, let me know as soon as possible.
 
 
 Regards
 Robert Huerta"	
SUBMISSION OF TRAVEL CLAIMS	DoD 7000.14-R (DoDFMR), Volume 9, Chapter 8, para 080601, “The traveler must submit all claims within five working days of return to or arrival at the PDS.”
Non-availability Statements	No, per DoD 7000.14-R (DoDFMR), Volume 9, Chapter 5, para 050801, “Travelers are not required to obtain written non-availability statements before obtaining reimbursement for commercial lodging costs and the local M&IE rate. The availability of government quarters, contract quarters, and dining facilities must be confirmed when a reservation request is made.” Travelers must obtain the confirmation by using the procedures in para 050801.A, same publication. DoD Guidance is the traveler will reserve lodging using DTS and utilize ILPP facilities if available.
Good morning. Do I upload my receipts for LQA on this website?	
Trying to find out what to do if LeaveWeb is showing past Leave as rejected after the return was approved.	
"Good afternoon,
 
 
 My spouse moved from Denver to my new duty station in Omaha and therefore her address for BAH needs to be updated as to not get under/over paid. I was unable to find where to do this and was hoping for some guidance on the subject. Thank you and have a great day.
 
 
 A1C Alexander Ervin"	
How do I start BAH after moving out of military housing?	
"Greetings, 
 
 
 I would like to ask a question about sending AF-3821 forms to multiple CPTS for AF bases. 
 
 
 I have created a profile for my location at RAFB to submit my AF-3821 forms. But my question is can I send to all CPTS AFB with multiple PASCODES in the near future? 
 
 
 Thank you!"	"This feature currently does not exist. However, you can either 
 1) adjust your profile PASCODE to the base you want to route the AF3821 to, this would be challenging to follow up on if you made a mistake or what to refresh to check the status as you'd have to change each time and refresh CSP. 
 2) Submit on behalf of other using another Category and the member's info which if their profile is built with a PASCODE that matches their supporting CPTS the inquiry will route appropriately. I'd ask to be added as a Team Member on those inquiries so you can track the status.
 v/r
 Lt Col Franta"
"Good Morning,
 
 
 What is the plan on how the tax deferment will be repaid? Will there be some type of payment plan, automatic garnishing of wages, or will members be able to pay extra each month to offset it? Please advise and thank you.
 
 
 v/r
 MSgt Nixon"	"The current method as described is the rate will be turned back on for 1 Jan pay meaning mid-month Jan and EOM Jan (paid on 1 Feb) would reflect the ~6.3% rate PLUS an additional 6.3% make-up for these few months the payments were deferred.
 
 
 If legislation passes then no collection will be made. As we approach December I anticipate hearing more on the specific tactics.
 v/r
 Lt Col Franta
 Commander, 502 CPTS"
"Greetings, 
 
 
 I am working on my PCS and have a questions about GTC use.
 
 I am doing a PPM (DITTY move). Should I be using my GTC for truck or storage rental?
 
 
 Could you please provide a list of what is authorized for GTC use?
 
 
 Thanks, 
 Capt Cencer"	
"Leaders,
 
 BLUF: The vast majority of personnel on GAFB will be affected by a payroll tax deferment starting with their next paycheck. The extra money we will get over the next few months will be paid back next year. Please ensure your Airmen are tracking to prevent financial strain in the future. 
 
 Per 17 FSS, The Airman & Family Readiness Center (Bldg. 145) is ready to assist with any financial readiness questions per the tax deferral or any other financial matter. Please feel free to contact them at 654-3893 or emailfsc.programs@us.af.mil (Monday – Friday from 0800-1600) for more information or to make an appointment.
 
 Background: This is a “deferral” of taxes (not free/additional money) and members will have to pay this “deferred” tax back. Federal workers do not have the option to “opt-out” of having the tax deferred. The best way to know how it will affect you is to check your LES. More information is expected on how the deferred taxes will be recouped in 2021.
 
 Please be cautious of information from unofficial sources. Information from FM channels is below. Additional information can be found on the DFAS website here:https://www.dfas.mil/taxes/Social-Security-Deferral/.
 
 v/r
 KARA L. TAYLOR, Lt Col, USAF
 Commander, 17th Comptroller Squadron
 Comm: (325) 654-5181
 DSN: 477-5181"	"In response to the Presidential Memorandum issued on August 8, 2020 (https://www.whitehouse.gov/presidential-actions/memorandum-deferring-payroll-tax-obligations-light-ongoing-covid-19-disaster), and the Department of the Treasury/IRS guidance issued August 28, 2020, below is the information we received regarding the planned implementation of the deferred payroll tax. 
 
 DFAS will implement system changes to defer employees’ withholding of 6.2% of social security wages for those employees under the wages threshold and subject to social security tax. In addition, DFAS is planning on sending a SMARTDOC to all employees – both civilian and military members next week.
 
 Partnering with the Office of Management and Budget (OMB) and the Office of Personnel Management (OPM), DFAS will implement the guidance according to the expectation that all Federal Civilian Payroll Providers will act in unison. OMB directed all Executive Branch Agencies to implement the deferral. This change will be made for both Civilians and the Military. As such, no Payroll Providers, Departments/Agencies, nor employees will be able to opt-in/opt-out of the deferral. The elimination of the withholding of employee deductions for the applicable employees will be effective the second paycheck in September, pay period ending September 12, 2020, that pays out September 18th. For the military members it will be effective with the mid-month that pays out September 15th.
 
 DFAS will defer the Social Security (Old Age, Survivors, and Disability Insurance or OASDI) employee deductions for all employees whose gross social security wages that are less than $4,000 in any given pay period through the end of 2020 (for military members this is calculated on monthly rate of basic pay that is less than $8,666.66 in any given month). Applicability will be determined on a pay period-by-pay period basis and could vary according to the wages subject to OASDI withholding. The deferral will not impact those employees in Retirement Plans not subject to Social Security withholding (i.e. CSRS).
 
 
 Please be advised that the IRS guidance advises that the deferred amount of OASDI tax be collected between January 1-April 30, 2021, more information to come from DFAS on exactly how collection will occur. The IRS is still working to determine how the deferral and collection will impact employees’ W-2s. Employees should be made aware that the temporary deferral of the 6.2% OASDI withholding does not eliminate them from being liable for the tax should they depart from Federal Civilian Employment."
